"","site","group","year","var","estimate","MOE","diff","statsig_90per_value","statsig_90per","statsig_95per_value","statsig_95per"
"1","Fresno","TCC",2013,"Pop_tot",39140,1646.96569484613,0,0,NA,0,NA
"2","Fresno","Control",2013,"Pop_tot",48862,1786.40420957856,24.8390393459377,6.5820026781757,"significant",7.84238616974126,"significant"
"3","Fresno","TCC",2014,"Pop_tot",39389,1498.60268250127,0,0,NA,0,NA
"4","Fresno","Control",2014,"Pop_tot",49190,1715.99417248428,24.8825814313641,7.07675161880786,"significant",8.43187426921788,"significant"
"5","Fresno","TCC",2015,"Pop_tot",38854,1348.96515892739,0,0,NA,0,NA
"6","Fresno","Control",2015,"Pop_tot",48698,1597.51369321205,25.335872754414,7.74478739474817,"significant",9.22783178948718,"significant"
"7","Fresno","TCC",2016,"Pop_tot",39322,1411.48538780959,0,0,NA,0,NA
"8","Fresno","Control",2016,"Pop_tot",48026,1571.7168956272,22.1351914958547,6.77784345626821,"significant",8.07572837342595,"significant"
"9","Fresno","TCC",2017,"Pop_tot",38699,1500.9626910753,0,0,NA,0,NA
"10","Fresno","Control",2017,"Pop_tot",48598,1795.50772763583,25.5794723377865,6.95819000188345,"significant",8.29060936394623,"significant"
"11","Fresno","TCC",2018,"Pop_tot",39860,1493.88955415051,0,0,NA,0,NA
"12","Fresno","Control",2018,"Pop_tot",50165,1632.78167554637,25.8529854490718,7.65982074910139,"significant",9.12659493509953,"significant"
"13","Fresno","TCC",2013,"Hisp_per",61.5355135411344,2.88314653826416,0,0,NA,0,NA
"14","Fresno","Control",2013,"Hisp_per",58.2354385821293,3.28254591452812,-5.36287871685534,1.24254913277397,"nonsignificant",1.48048407309239,"nonsignificant"
"15","Fresno","TCC",2014,"Hisp_per",63.4542638807789,2.5539068857966,0,0,NA,0,NA
"16","Fresno","Control",2014,"Hisp_per",55.5539743850376,2.8696672871295,-12.4503682062797,3.38301194697162,"significant",4.03082274532789,"significant"
