bedrooms,rent,sqft,date,longitude,latitude
3.0,1295.0,1529.0,2014-05-11,-119.887158,36.830361
3.0,860.0,1215.0,2014-05-11,-119.800994,36.822649
2.0,825.0,969.0,2014-05-11,-119.801102,36.821533
3.0,940.0,1215.0,2014-05-11,-119.800994,36.822271
2.0,840.0,897.0,2014-05-11,-119.80078,36.821619
4.0,1250.0,1300.0,2014-05-11,-119.7655,36.8579
3.0,,,2014-05-11,-119.8801,36.7918
3.0,1200.0,,2014-05-11,-119.6397,36.7464
3.0,950.0,,2014-05-11,-119.7594,36.7684
3.0,945.0,1100.0,2014-05-11,-120.044861,36.984866
4.0,,,2014-05-11,-119.84958799999998,36.802632
3.0,1050.0,1235.0,2014-05-11,-119.726172,36.716462
1.0,530.0,700.0,2014-05-11,-119.696933,36.73989
3.0,900.0,985.0,2014-05-11,-119.794578,36.747181
2.0,790.0,820.0,2014-05-11,-119.778614,36.85078
2.0,790.0,820.0,2014-05-11,-119.778228,36.850745
2.0,790.0,820.0,2014-05-11,-119.778464,36.850745
2.0,790.0,820.0,2014-05-11,-119.779843,36.851808
2.0,790.0,820.0,2014-05-11,-119.778528,36.850986
1.0,755.0,620.0,2014-05-11,-119.77855,36.850557
2.0,810.0,820.0,2014-05-11,-119.7787,36.8509
2.0,790.0,820.0,2014-05-11,-119.778807,36.850763
4.0,1900.0,2650.0,2014-05-11,-119.915568,36.843789
3.0,1000.0,1200.0,2014-05-11,-119.7594,36.7684
2.0,850.0,900.0,2014-05-11,-120.069172,36.725763
2.0,,980.0,2014-05-11,-119.778721,36.850866
,,820.0,2014-05-11,-119.778399,36.850642
2.0,,820.0,2014-05-11,-119.778614,36.851072
3.0,1595.0,2050.0,2014-05-11,-119.667506,36.777496
2.0,,820.0,2014-05-11,-119.77915,36.851707
2.0,790.0,820.0,2014-05-11,-119.778829,36.851037
2.0,,820.0,2014-05-11,-119.779172,36.851449
2.0,950.0,1280.0,2014-05-11,-119.815956,36.806409
2.0,1350.0,1380.0,2014-05-11,-119.830751,36.815811
2.0,950.0,1280.0,2014-05-11,-119.815956,36.806409
2.0,1000.0,1371.0,2014-05-11,-119.817672,36.841254
2.0,950.0,1280.0,2014-05-11,-119.8286,36.7863
3.0,1500.0,1580.0,2014-05-11,-119.830751,36.815811
2.0,1000.0,1371.0,2014-05-11,-119.817672,36.841254
2.0,,820.0,2014-05-11,-119.778893,36.850934
2.0,790.0,820.0,2014-05-11,-119.778743,36.85100300000001
2.0,,820.0,2014-05-11,-119.778829,36.8509
2.0,,820.0,2014-05-11,-119.778721,36.850745
2.0,,820.0,2014-05-11,-119.778807,36.850831
3.0,1795.0,2435.0,2014-05-11,-119.816538,36.829005
3.0,1295.0,1890.0,2014-05-11,-120.123315,36.786532
2.0,,820.0,2014-05-11,-119.778786,36.850969
,540.0,,2014-05-11,-119.7604,36.7949
2.0,,820.0,2014-05-11,-119.77855,36.850934
2.0,675.0,700.0,2014-05-11,-119.772777,36.772149
2.0,790.0,820.0,2014-05-11,-119.778292,36.850797
2.0,685.0,800.0,2014-05-11,-119.6802,36.8253
2.0,1378.0,1374.0,2014-05-11,-119.764716,36.868155
3.0,1200.0,1700.0,2014-05-11,-119.767628,36.820966
2.0,790.0,820.0,2014-05-11,-119.779843,36.851808
3.0,1200.0,1700.0,2014-05-11,-119.767284,36.820416
4.0,1400.0,,2014-05-11,-119.8801,36.7918
2.0,925.0,973.0,2014-05-11,-119.781482,36.811517
2.0,790.0,820.0,2014-05-11,-119.778743,36.850763
2.0,905.0,980.0,2014-05-11,-119.778571,36.850728
2.0,1050.0,918.0,2014-05-11,-119.76297,36.872179
2.0,1358.0,1265.0,2014-05-11,-119.763336,36.871931
2.0,790.0,820.0,2014-05-11,-119.779843,36.851808
2.0,790.0,820.0,2014-05-11,-119.779843,36.851808
2.0,905.0,980.0,2014-05-11,-119.779843,36.851808
2.0,,,2014-05-11,-119.779843,36.851808
4.0,1500.0,2500.0,2014-05-11,-119.673128,36.725746
3.0,1350.0,1219.0,2014-05-11,-119.7655,36.8579
2.0,,743.0,2014-05-11,-119.721774,36.757349
2.0,945.0,870.0,2014-05-11,-119.862757,36.811917
2.0,675.0,1015.0,2014-05-11,-119.734726,36.738621
2.0,790.0,820.0,2014-05-11,-119.7787,36.850917
