bedrooms,rent,sqft,date,longitude,latitude
1.0,535.0,760.0,2014-05-11,-117.336275,34.545792
2.0,1038.0,810.0,2014-05-11,-117.60058,33.413228000000004
3.0,1395.0,1680.0,2014-05-11,-117.318376,34.047113
3.0,975.0,1100.0,2014-05-11,-117.334285,34.470503
2.0,895.0,,2014-05-11,-117.35545,33.979215
3.0,1395.0,1680.0,2014-05-11,-117.318376,34.047113
1.0,950.0,,2014-05-11,-117.33578,33.983015
1.0,950.0,,2014-05-11,-117.33578,33.983015
2.0,900.0,900.0,2014-05-11,-117.5517,33.9247
3.0,1595.0,1200.0,2014-05-11,-117.145092,33.543612
4.0,2350.0,3000.0,2014-05-11,-117.505549,33.905746
4.0,1850.0,,2014-05-11,-117.484338,33.889584
4.0,1250.0,2054.0,2014-05-11,-117.372908,34.526662
1.0,850.0,700.0,2014-05-11,-117.30961,34.166057
4.0,2000.0,,2014-05-11,-117.316303,33.974132
5.0,2495.0,2300.0,2014-05-11,-117.307482,33.947511
4.0,1200.0,1378.0,2014-05-11,-117.3528,34.5563
5.0,2500.0,,2014-05-11,-117.316604,33.974328
3.0,1675.0,3200.0,2014-05-11,-117.2132,34.5291
4.0,2350.0,3000.0,2014-05-11,-117.505573,33.905772
2.0,1025.0,,2014-05-11,-117.193572,34.052014
2.0,1025.0,,2014-05-11,-117.193572,34.052014
2.0,1025.0,,2014-05-11,-117.193572,34.052014
2.0,1025.0,,2014-05-11,-117.193572,34.052014
2.0,1025.0,,2014-05-11,-117.193572,34.052014
2.0,1025.0,,2014-05-11,-117.193572,34.052014
2.0,1025.0,,2014-05-11,-117.193572,34.052014
2.0,1025.0,,2014-05-11,-117.193572,34.052014
2.0,1025.0,,2014-05-11,-117.193572,34.052014
5.0,2350.0,2200.0,2014-05-11,-117.306643,33.947678
2.0,1025.0,,2014-05-11,-117.193572,34.052014
2.0,1000.0,,2014-05-11,-117.444681,34.112718
5.0,2150.0,2721.0,2014-05-11,-117.1851,33.9377
5.0,1500.0,2618.0,2014-05-11,-117.232382,34.435231
2.0,1500.0,820.0,2014-05-11,-117.8098,34.0066
4.0,1995.0,1700.0,2014-05-11,-117.30503799999998,33.950084999999994
4.0,1795.0,2701.0,2014-05-11,-117.095718,33.619122
3.0,1750.0,1240.0,2014-05-11,-117.732947,34.052091
2.0,1250.0,1440.0,2014-05-11,-117.228906,34.13749
3.0,800.0,1150.0,2014-05-11,-117.013554,34.900221
3.0,1050.0,1104.0,2014-05-11,-116.973,33.7416
3.0,1750.0,1931.0,2014-05-11,-117.0958,33.4983
,750.0,500.0,2014-05-11,-117.189424,33.742863
3.0,,,2014-05-11,-117.3528,34.5563
4.0,,,2014-05-11,-117.339785,33.978821999999994
1.0,1055.0,776.0,2014-05-11,-117.328727,33.957083000000004
2.0,945.0,961.0,2014-05-11,-117.32881299999998,33.955927
5.0,1650.0,2200.0,2014-05-11,-117.1783,33.569
2.0,995.0,,2014-05-11,-117.186216,34.052488000000004
4.0,2860.0,2050.0,2014-05-11,-117.0958,33.4983
4.0,2500.0,2417.0,2014-05-11,-117.10104,33.485004
4.0,2000.0,1750.0,2014-05-11,-117.189775,34.037685
1.0,450.0,500.0,2014-05-11,-116.989516,34.885058
3.0,1600.0,15000.0,2014-05-11,-117.324436,33.986588
4.0,1650.0,3000.0,2014-05-11,-117.350367,34.537009000000005
2.0,735.0,816.0,2014-05-11,-117.346718,34.513133
4.0,995.0,,2014-05-11,-117.300546,34.51146
3.0,1395.0,1369.0,2014-05-11,-117.444483,33.926175
3.0,1450.0,1200.0,2014-05-11,-117.204208,33.688496
4.0,1950.0,2150.0,2014-05-11,-117.1783,33.569
